content,clean_tokens,stemmed,label
Nggak bisa ganti nomor hp di akun? Bintang 1 aja ya,"['nggak', 'bisa', 'ganti', 'nomor', 'hp', 'di', 'akun', 'bintang', '1', 'aja', 'ya']","['nggak', 'ganti', 'nomor', 'hp', 'akun', 'bintang', '1', 'aja']",0
Ok,['ok'],['ok'],1
Keren,['keren'],['keren'],1
"Very easy to use... If only ada feature notifikasi untuk upcoming movie... Jd gw bisa tanda in movie yg gw pengen nonton, begitu tayang gw dapet notifikasi.. Gw akan kasih 5 bintang klo fitur ini jadi kenyataan...","['very', 'easy', 'to', 'use', 'if', 'only', 'ada', 'feature', 'notifikasi', 'untuk', 'upcoming', 'movie', 'jd', 'gw', 'bisa', 'tanda', 'in', 'movie', 'yg', 'gw', 'pengen', 'nonton', 'begitu', 'tayang', 'gw', 'dapet', 'notifikasi', 'gw', 'akan', 'kasih', '5', 'bintang', 'klo', 'fitur', 'ini', 'jadi', 'kenyataan']","['very', 'easy', 'to', 'use', 'if', 'only', 'feature', 'notifikasi', 'upcoming', 'movie', 'jd', 'gw', 'tanda', 'in', 'movie', 'yg', 'gw', 'ken', 'nonton', 'tayang', 'gw', 'dapet', 'notifikasi', 'gw', 'kasih', '5', 'bintang', 'klo', 'fitur', 'nyata']",1
I can't register into mtix. The OTP code never send.,"['i', 'ca', ""n't"", 'register', 'into', 'mtix', 'the', 'otp', 'code', 'never', 'send']","['ca', 'n t', 'register', 'into', 'mtix', 'the', 'otp', 'code', 'never', 'send']",0
Serius Gw Nyesel Banget TopUp Di App ini Lebih Rugi Setiap Top Up kenak biaya admin 5 k belum lagi biaya Admin tiket 1.5 k dan Kurang ajarnya lagi ada Limit Top Up nya Kelipatan 50 K. Binggung aja Pakai Tix Id (Maaf Sebut Merk Kesel Banget Soalnya) yang bukan App Resmi nya jauh lebih Murah dan Hemat. Memang Pinter Nihhh Yang Buat App Bikin Costumer Mau Gak Mau Harus Top Up. Padahal saldo ku ada 19 k dan gak cukup untuk beli 1 tiket yang harga 30 k eh mau Top Up 20 k aja gak bisa. TOLONG DIREPLY,"['serius', 'gw', 'nyesel', 'banget', 'topup', 'di', 'app', 'ini', 'lebih', 'rugi', 'setiap', 'top', 'up', 'kenak', 'biaya', 'admin', '5', 'k', 'belum', 'lagi', 'biaya', 'admin', 'tiket', '1.5', 'k', 'dan', 'kurang', 'ajarnya', 'lagi', 'ada', 'limit', 'top', 'up', 'nya', 'kelipatan', '50', 'k.', 'binggung', 'aja', 'pakai', 'tix', 'id', 'maaf', 'sebut', 'merk', 'kesel', 'banget', 'soalnya', 'yang', 'bukan', 'app', 'resmi', 'nya', 'jauh', 'lebih', 'murah', 'dan', 'hemat', 'memang', 'pinter', 'nihhh', 'yang', 'buat', 'app', 'bikin', 'costumer', 'mau', 'gak', 'mau', 'harus', 'top', 'up', 'padahal', 'saldo', 'ku', 'ada', '19', 'k', 'dan', 'gak', 'cukup', 'untuk', 'beli', '1', 'tiket', 'yang', 'harga', '30', 'k', 'eh', 'mau', 'top', 'up', '20', 'k', 'aja', 'gak', 'bisa', 'tolong', 'direply']","['serius', 'gw', 'nyesel', 'banget', 'topup', 'app', 'rugi', 'top', 'up', 'nak', 'biaya', 'admin', '5', 'biaya', 'admin', 'tiket', '1 5', 'ajar', 'limit', 'top', 'up', 'kelipat', '50', 'k', 'binggung', 'aja', 'pakai', 'tix', 'id', 'maaf', 'merk', 'kesel', 'banget', 'app', 'resmi', 'murah', 'hemat', 'pinter', 'nihhh', 'app', 'bikin', 'costumer', 'gak', 'top', 'up', 'saldo', 'ku', '19', 'gak', 'beli', '1', 'tiket', 'harga', '30', 'eh', 'top', 'up', '20', 'aja', 'gak', 'tolong', 'direply']",0
ga dapet dapet sms kode aktivasi,"['ga', 'dapet', 'dapet', 'sms', 'kode', 'aktivasi']","['ga', 'dapet', 'dapet', 'sms', 'kode', 'aktivasi']",0
"Sekarang jadi lebih mudah utk pesan tiket nonton tanpa harus antri. Apalagi sekarang topupnya ga cuma di atm doang, tapi juga bisa di indomaret.","['sekarang', 'jadi', 'lebih', 'mudah', 'utk', 'pesan', 'tiket', 'nonton', 'tanpa', 'harus', 'antri', 'apalagi', 'sekarang', 'topupnya', 'ga', 'cuma', 'di', 'atm', 'doang', 'tapi', 'juga', 'bisa', 'di', 'indomaret']","['mudah', 'utk', 'pesan', 'tiket', 'nonton', 'antri', 'topupnya', 'ga', 'atm', 'doang', 'indomaret']",1
Bintang 4 dulu,"['bintang', '4', 'dulu']","['bintang', '4']",1
"18/10/2019 Can't see or choose date on some movie. Edit : 19/10/2019 This company update their schedule for some movie (that I want to watch) day by day. You can't see or booking the date you wanted. If it 19th October, yes, you book only that day. What if I want to watch on 20th Sunday ? You can't BOOK unless you wait for they updated on the next day. You Suck!","['18/10/2019', 'ca', ""n't"", 'see', 'or', 'choose', 'date', 'on', 'some', 'movie', 'edit', '19/10/2019', 'this', 'company', 'update', 'their', 'schedule', 'for', 'some', 'movie', 'that', 'i', 'want', 'to', 'watch', 'day', 'by', 'day', 'you', 'ca', ""n't"", 'see', 'or', 'booking', 'the', 'date', 'you', 'wanted', 'if', 'it', '19th', 'october', 'yes', 'you', 'book', 'only', 'that', 'day', 'what', 'if', 'i', 'want', 'to', 'watch', 'on', '20th', 'sunday', 'you', 'ca', ""n't"", 'book', 'unless', 'you', 'wait', 'for', 'they', 'updated', 'on', 'the', 'next', 'day', 'you', 'suck']","['18 10 2019', 'ca', 'n t', 'see', 'or', 'choose', 'date', 'on', 'some', 'movie', 'edit', '19 10 2019', 'this', 'company', 'update', 'their', 'schedule', 'for', 'some', 'movie', 'that', 'want', 'to', 'watch', 'day', 'by', 'day', 'you', 'ca', 'n t', 'see', 'or', 'booking', 'the', 'date', 'you', 'wanted', 'if', 'it', '19th', 'october', 'yes', 'you', 'book', 'only', 'that', 'day', 'what', 'if', 'want', 'to', 'watch', 'on', '20th', 'sunday', 'you', 'ca', 'n t', 'book', 'unless', 'you', 'wait', 'for', 'they', 'updated', 'on', 'the', 'next', 'day', 'you', 'suck']",0
"Gampang di akses, nyarinya dan sangat informatif.","['gampang', 'di', 'akses', 'nyarinya', 'dan', 'sangat', 'informatif']","['gampang', 'akses', 'nyarinya', 'informatif']",1
Nice,['nice'],['nice'],1
Great app,"['great', 'app']","['great', 'app']",1
Nice,['nice'],['nice'],1
"The best cinemas network in Indonesia. Easy to book, explore movies, even shop pre-movie Food and Beverages. Keep the good work..","['the', 'best', 'cinemas', 'network', 'in', 'indonesia', 'easy', 'to', 'book', 'explore', 'movies', 'even', 'shop', 'pre-movie', 'food', 'and', 'beverages', 'keep', 'the', 'good', 'work']","['the', 'best', 'cemas', 'network', 'in', 'indonesia', 'easy', 'to', 'book', 'explore', 'movies', 'even', 'shop', 'pre-movie', 'food', 'and', 'beverages', 'keep', 'the', 'good', 'work']",1
"Good apps , i hope will be stable","['good', 'apps', 'i', 'hope', 'will', 'be', 'stable']","['good', 'apps', 'hope', 'will', 'be', 'stable']",1
"I can't open this app,please fix this","['i', 'ca', ""n't"", 'open', 'this', 'app', 'please', 'fix', 'this']","['ca', 'n t', 'open', 'this', 'app', 'please', 'fix', 'this']",0
"User friendly interface, quite useful app.. Please provide option for changing phone number.","['user', 'friendly', 'interface', 'quite', 'useful', 'app', 'please', 'provide', 'option', 'for', 'changing', 'phone', 'number']","['user', 'friendly', 'interface', 'quite', 'useful', 'app', 'please', 'provide', 'option', 'for', 'changing', 'phone', 'number']",1
New update can not open .. Force close .. But thanks for support .. I can access via website .. I already delete app and reinstall but still not work ..,"['new', 'update', 'can', 'not', 'open', 'force', 'close', 'but', 'thanks', 'for', 'support', 'i', 'can', 'access', 'via', 'website', 'i', 'already', 'delete', 'app', 'and', 'reinstall', 'but', 'still', 'not', 'work']","['new', 'update', 'can', 'not', 'open', 'force', 'close', 'but', 'thanks', 'for', 'support', 'can', 'access', 'via', 'website', 'already', 'delete', 'app', 'and', 'reinstall', 'but', 'still', 'not', 'work']",1
Good,['good'],['good'],1
Today the app cant be opened. Pls fix the bug. Thanks,"['today', 'the', 'app', 'cant', 'be', 'opened', 'pls', 'fix', 'the', 'bug', 'thanks']","['today', 'the', 'app', 'cant', 'be', 'opened', 'pls', 'fix', 'the', 'bug', 'thanks']",0
not working for my oppo F1S after i update it. please repair it soon.....,"['not', 'working', 'for', 'my', 'oppo', 'f1s', 'after', 'i', 'update', 'it', 'please', 'repair', 'it', 'soon']","['not', 'working', 'for', 'my', 'oppo', 'f1s', 'after', 'update', 'it', 'please', 'repair', 'it', 'soon']",1
"After the last update, the app can't be opened. Please fix it!","['after', 'the', 'last', 'update', 'the', 'app', 'ca', ""n't"", 'be', 'opened', 'please', 'fix', 'it']","['after', 'the', 'last', 'update', 'the', 'app', 'ca', 'n t', 'be', 'opened', 'please', 'fix', 'it']",0
Easy to use,"['easy', 'to', 'use']","['easy', 'to', 'use']",1
Easy to uses. Many thank to you guys.,"['easy', 'to', 'uses', 'many', 'thank', 'to', 'you', 'guys']","['easy', 'to', 'uses', 'many', 'thank', 'to', 'you', 'guys']",1
"Tiba2 ada Push notification ""Testtt kirim"" Jgn nyoba2 di app production ini developernya.😆","['tiba2', 'ada', 'push', 'notification', 'testtt', 'kirim', 'jgn', 'nyoba2', 'di', 'app', 'production', 'ini', 'developernya.😆']","['tiba2', 'push', 'notification', 'testtt', 'kirim', 'jgn', 'nyoba2', 'app', 'production', 'developer']",0
min.. isi saldo mtix kena potong 5000. lalu beli tiket kn charge 1500/tiket.. bintang 2 aj deh dulu.,"['min', 'isi', 'saldo', 'mtix', 'kena', 'potong', '5000.', 'lalu', 'beli', 'tiket', 'kn', 'charge', '1500/tiket', 'bintang', '2', 'aj', 'deh', 'dulu']","['min', 'isi', 'saldo', 'mtix', 'potong', '5000', 'beli', 'tiket', 'kn', 'charge', '1500 tiket', 'bintang', '2', 'aj', 'deh']",0
Dasar bangsat gw udh top up 650 buat 10 orang eh ngk bisa anjg nysesl gw dan ngk bisa beli 2 kali taek,"['dasar', 'bangsat', 'gw', 'udh', 'top', 'up', '650', 'buat', '10', 'orang', 'eh', 'ngk', 'bisa', 'anjg', 'nysesl', 'gw', 'dan', 'ngk', 'bisa', 'beli', '2', 'kali', 'taek']","['dasar', 'bangsat', 'gw', 'udh', 'top', 'up', '650', '10', 'eh', 'ngk', 'anjg', 'nysesl', 'gw', 'ngk', 'beli', '2', 'taek']",0
Awesome,['awesome'],['awesome'],1
"This app is pretty much pointless now. Other apps offer better deals and various payment options. You can't even refund or send the balance in this app anywhere else. The freakiest is that this app sent some ""test kirim"" notification sometimes.","['this', 'app', 'is', 'pretty', 'much', 'pointless', 'now', 'other', 'apps', 'offer', 'better', 'deals', 'and', 'various', 'payment', 'options', 'you', 'ca', ""n't"", 'even', 'refund', 'or', 'send', 'the', 'balance', 'in', 'this', 'app', 'anywhere', 'else', 'the', 'freakiest', 'is', 'that', 'this', 'app', 'sent', 'some', 'test', 'kirim', 'notification', 'sometimes']","['this', 'app', 'is', 'pretty', 'much', 'pointless', 'now', 'other', 'apps', 'offer', 'better', 'deals', 'and', 'various', 'payment', 'options', 'you', 'ca', 'n t', 'even', 'refund', 'or', 'send', 'the', 'balance', 'in', 'this', 'app', 'anywhere', 'else', 'the', 'freakiest', 'is', 'that', 'this', 'app', 'sent', 'some', 'test', 'kirim', 'notification', 'sometimes']",0
Test kirim? What the f?,"['test', 'kirim', 'what', 'the', 'f']","['test', 'kirim', 'what', 'the']",0
"Recently got a push notifications with message ""testtt kirim"" showing that this app maintener is not professional therefore I prefer other merchant","['recently', 'got', 'a', 'push', 'notifications', 'with', 'message', 'testtt', 'kirim', 'showing', 'that', 'this', 'app', 'maintener', 'is', 'not', 'professional', 'therefore', 'i', 'prefer', 'other', 'merchant']","['recently', 'got', 'push', 'notifications', 'with', 'message', 'testtt', 'kirim', 'showing', 'that', 'this', 'app', 'maintener', 'is', 'not', 'professional', 'therefore', 'prefer', 'other', 'merchant']",0
keren,['keren'],['keren'],1
"I just got a notification that mention ""test kirim"", and when I tap on it, it's from this app, and when I open the app from that notification, suddenly it's stuck on loading. What are you guys doing? Don't break our privacy!","['i', 'just', 'got', 'a', 'notification', 'that', 'mention', 'test', 'kirim', 'and', 'when', 'i', 'tap', 'on', 'it', 'it', 'from', 'this', 'app', 'and', 'when', 'i', 'open', 'the', 'app', 'from', 'that', 'notification', 'suddenly', 'it', 'stuck', 'on', 'loading', 'what', 'are', 'you', 'guys', 'doing', 'do', ""n't"", 'break', 'our', 'privacy']","['just', 'got', 'notification', 'that', 'mention', 'test', 'kirim', 'and', 'when', 'tap', 'on', 'it', 'it', 'from', 'this', 'app', 'and', 'when', 'open', 'the', 'app', 'from', 'that', 'notification', 'suddenly', 'it', 'stuck', 'on', 'loading', 'what', 'are', 'you', 'guys', 'doing', 'do', 'n t', 'break', 'our', 'privacy']",0
Di reload gak bisa2. Appnya bapuk setelah muncul notif testtttt kirim,"['di', 'reload', 'gak', 'bisa2', 'appnya', 'bapuk', 'setelah', 'muncul', 'notif', 'testtttt', 'kirim']","['reload', 'gak', 'bisa2', 'appnya', 'bapuk', 'muncul', 'notif', 'testtttt', 'kirim']",0
Beli di aplikasi lebih mahal daripada beli lgsg di counter. Ga ada promo apa apa. Ga menarik,"['beli', 'di', 'aplikasi', 'lebih', 'mahal', 'daripada', 'beli', 'lgsg', 'di', 'counter', 'ga', 'ada', 'promo', 'apa', 'apa', 'ga', 'menarik']","['beli', 'aplikasi', 'mahal', 'beli', 'lgsg', 'counter', 'ga', 'promo', 'ga', 'tarik']",0
"Kalo lagi develop app, testingnya jangan libatin customer dong. Tiba2 dapet push notif isi messagenya testtt kirim.","['kalo', 'lagi', 'develop', 'app', 'testingnya', 'jangan', 'libatin', 'customer', 'dong', 'tiba2', 'dapet', 'push', 'notif', 'isi', 'messagenya', 'testtt', 'kirim']","['kalo', 'develop', 'app', 'testing', 'libatin', 'customer', 'tiba2', 'dapet', 'push', 'notif', 'isi', 'messagenya', 'testtt', 'kirim']",0
"Barusan dapet pop up ""tes kirim"" dari aplikasi xxi maksudnya apa ya? Di hack kah? Saya kasih bintang 1 karena mencurigakan.","['barusan', 'dapet', 'pop', 'up', 'tes', 'kirim', 'dari', 'aplikasi', 'xxi', 'maksudnya', 'apa', 'ya', 'di', 'hack', 'kah', 'saya', 'kasih', 'bintang', '1', 'karena', 'mencurigakan']","['barusan', 'dapet', 'pop', 'up', 'tes', 'kirim', 'aplikasi', 'xxi', 'maksud', 'hack', 'kah', 'kasih', 'bintang', '1', 'curiga']",0
"LOL, app nya kok bs di hack..... auto uninstall deh, gk lg make mtix, akun 100% gk aman.","['lol', 'app', 'nya', 'kok', 'bs', 'di', 'hack', 'auto', 'uninstall', 'deh', 'gk', 'lg', 'make', 'mtix', 'akun', '100', 'gk', 'aman']","['lol', 'app', 'bs', 'hack', 'auto', 'uninstall', 'deh', 'gk', 'lg', 'make', 'mtix', 'akun', '100', 'gk', 'aman']",0
"Dapet notif isinya hanya ""Tes Kirim""","['dapet', 'notif', 'isinya', 'hanya', 'tes', 'kirim']","['dapet', 'notif', 'isi', 'tes', 'kirim']",0
kenapa ini kok error mana mau pesen tiket lagi,"['kenapa', 'ini', 'kok', 'error', 'mana', 'mau', 'pesen', 'tiket', 'lagi']","['error', 'sen', 'tiket']",0
"pendaftaran kaya bikin sim ribed, aplikasi ngelag pake webview bagusan tubes saya ya, minimal topup kaya bandara mahal banget kelihatan kapitalisnya","['pendaftaran', 'kaya', 'bikin', 'sim', 'ribed', 'aplikasi', 'ngelag', 'pake', 'webview', 'bagusan', 'tubes', 'saya', 'ya', 'minimal', 'topup', 'kaya', 'bandara', 'mahal', 'banget', 'kelihatan', 'kapitalisnya']","['daftar', 'kaya', 'bikin', 'sim', 'ribed', 'aplikasi', 'ngelag', 'pake', 'webview', 'bagus', 'tubes', 'minimal', 'topup', 'kaya', 'bandara', 'mahal', 'banget', 'kapitalis']",0
Tolong diperbaiki untuk bagian ketika mau beli tiket. Ketika mau memilih tempat untuk nonton (scroll down)..gerakan scroll down tsb terasa sangat lemot sekali yg membuat hp terasa panas..,"['tolong', 'diperbaiki', 'untuk', 'bagian', 'ketika', 'mau', 'beli', 'tiket', 'ketika', 'mau', 'memilih', 'tempat', 'untuk', 'nonton', 'scroll', 'down', 'gerakan', 'scroll', 'down', 'tsb', 'terasa', 'sangat', 'lemot', 'sekali', 'yg', 'membuat', 'hp', 'terasa', 'panas']","['tolong', 'baik', 'beli', 'tiket', 'pilih', 'nonton', 'scroll', 'down', 'gera', 'scroll', 'down', 'tsb', 'lot', 'yg', 'hp', 'panas']",0
Lagy and slow on seat selection.,"['lagy', 'and', 'slow', 'on', 'seat', 'selection']","['lagy', 'and', 'slow', 'on', 'seat', 'selection']",0
Recomended😍,['recomended😍'],['recomended'],1
ok,['ok'],['ok'],1
"Sdh 2 kali saya keliru menentukan tgl pertunjukan, tapi dlm aplilasi tdk ada menu utk mengubahnya. Terpaksa langsung ke loket, tapi sia2, petugasnya tdk dpt merubah lagi, akhirnya menggunakan menu menghubungi CS lewat email, tapi tdk ada respons sama sekali. Akhirnya uninstall...","['sdh', '2', 'kali', 'saya', 'keliru', 'menentukan', 'tgl', 'pertunjukan', 'tapi', 'dlm', 'aplilasi', 'tdk', 'ada', 'menu', 'utk', 'mengubahnya', 'terpaksa', 'langsung', 'ke', 'loket', 'tapi', 'sia2', 'petugasnya', 'tdk', 'dpt', 'merubah', 'lagi', 'akhirnya', 'menggunakan', 'menu', 'menghubungi', 'cs', 'lewat', 'email', 'tapi', 'tdk', 'ada', 'respons', 'sama', 'sekali', 'akhirnya', 'uninstall']","['sdh', '2', 'keliru', 'tentu', 'tgl', 'tunjuk', 'dlm', 'aplilasi', 'tdk', 'menu', 'utk', 'ubah', 'paksa', 'loket', 'sia2', 'tugas', 'tdk', 'dpt', 'rubah', 'menu', 'hubung', 'cs', 'email', 'tdk', 'respons', 'uninstall']",0
1.5 k for each ticket? Why it is not free?,"['1.5', 'k', 'for', 'each', 'ticket', 'why', 'it', 'is', 'not', 'free']","['1 5', 'for', 'each', 'ticket', 'why', 'it', 'is', 'not', 'free']",1
Too many fees. You're greedy.,"['too', 'many', 'fees', 'you', 'greedy']","['too', 'many', 'fees', 'you', 'greedy']",0
Installing take whole day. Via play store.,"['installing', 'take', 'whole', 'day', 'via', 'play', 'store']","['installing', 'take', 'whole', 'day', 'via', 'play', 'store']",0
kota depok mana :((,"['kota', 'depok', 'mana']","['kota', 'depok']",1
"App nya bagus, gaada masalah, kualitas lumayan. Gw nya aja yng jahat aoekaowkaowkw","['app', 'nya', 'bagus', 'gaada', 'masalah', 'kualitas', 'lumayan', 'gw', 'nya', 'aja', 'yng', 'jahat', 'aoekaowkaowkw']","['app', 'bagus', 'gaada', 'kualitas', 'lumayan', 'gw', 'aja', 'yng', 'jahat', 'aoekaowkaowkw']",0
Tidak bisa pesan tiket premiere...,"['tidak', 'bisa', 'pesan', 'tiket', 'premiere']","['pesan', 'tiket', 'premiere']",0
Aku suka banget,"['aku', 'suka', 'banget']","['suka', 'banget']",1
"it's too expensive minimum top up. And less bonuses.There is no voucher could share any of discounts either.So, what does this app point?just for booking faster?Oh dude, you can't count on that feature till competitor may cut you.","['it', 'too', 'expensive', 'minimum', 'top', 'up', 'and', 'less', 'bonuses.there', 'is', 'no', 'voucher', 'could', 'share', 'any', 'of', 'discounts', 'either.so', 'what', 'does', 'this', 'app', 'point', 'just', 'for', 'booking', 'faster', 'oh', 'dude', 'you', 'ca', ""n't"", 'count', 'on', 'that', 'feature', 'till', 'competitor', 'may', 'cut', 'you']","['it', 'too', 'expensive', 'minimum', 'top', 'up', 'and', 'less', 'bonuses there', 'is', 'no', 'voucher', 'could', 'share', 'any', 'of', 'discounts', 'either so', 'what', 'does', 'this', 'app', 'point', 'just', 'for', 'booking', 'faster', 'oh', 'dude', 'you', 'ca', 'n t', 'count', 'on', 'that', 'feature', 'till', 'competitor', 'may', 'cut', 'you']",0
"Aplikasinya memudahkan sekali buat pembelian tiket, tapi disayangkan sekali untuk pengisian/top up saldo mtix yang minimalnya 100.000 itu nyusahin bgt karena jadi nyisain saldo di mtix nya yg bisa dibilang banyak😕","['aplikasinya', 'memudahkan', 'sekali', 'buat', 'pembelian', 'tiket', 'tapi', 'disayangkan', 'sekali', 'untuk', 'pengisian/top', 'up', 'saldo', 'mtix', 'yang', 'minimalnya', '100.000', 'itu', 'nyusahin', 'bgt', 'karena', 'jadi', 'nyisain', 'saldo', 'di', 'mtix', 'nya', 'yg', 'bisa', 'dibilang', 'banyak😕']","['aplikasi', 'mudah', 'beli', 'tiket', 'sayang', 'isi top', 'up', 'saldo', 'mtix', 'minimal', '100 000', 'nyusahin', 'bgt', 'nyisain', 'saldo', 'mtix', 'yg', 'bilang', 'banyak']",0
Very informative,"['very', 'informative']","['very', 'informative']",1
Bagus,['bagus'],['bagus'],1
"Pengalaman buruk pertama kali pake aplikasi XXI, pertama topup diwajibkan min 100K, dana mengendap 5K dan ada biaya adm 1.5K per tiket. terus ada promo cashback 25K yg smpe slesai nonton gk sya terima cashback nya dan yg aneh nya pas mau mulai film knp tiba2 ada penonton lain dgn no tiket kursi yg sama dgn saya????. sya kecewa bgt dgn aplikasi ini. Penipuan......!!!!!!","['pengalaman', 'buruk', 'pertama', 'kali', 'pake', 'aplikasi', 'xxi', 'pertama', 'topup', 'diwajibkan', 'min', '100k', 'dana', 'mengendap', '5k', 'dan', 'ada', 'biaya', 'adm', '1.5k', 'per', 'tiket', 'terus', 'ada', 'promo', 'cashback', '25k', 'yg', 'smpe', 'slesai', 'nonton', 'gk', 'sya', 'terima', 'cashback', 'nya', 'dan', 'yg', 'aneh', 'nya', 'pas', 'mau', 'mulai', 'film', 'knp', 'tiba2', 'ada', 'penonton', 'lain', 'dgn', 'no', 'tiket', 'kursi', 'yg', 'sama', 'dgn', 'saya', 'sya', 'kecewa', 'bgt', 'dgn', 'aplikasi', 'ini', 'penipuan']","['alam', 'buruk', 'pake', 'aplikasi', 'xxi', 'topup', 'wajib', 'min', '100k', 'dana', 'endap', '5k', 'biaya', 'adm', '1 5k', 'tiket', 'promo', 'cashback', '25k', 'yg', 'smpe', 'slesai', 'nonton', 'gk', 'sya', 'terima', 'cashback', 'yg', 'aneh', 'pas', 'film', 'knp', 'tiba2', 'tonton', 'dgn', 'no', 'tiket', 'kursi', 'yg', 'dgn', 'sya', 'kecewa', 'bgt', 'dgn', 'aplikasi', 'tipu']",0
Easy to book and no need to queue ;),"['easy', 'to', 'book', 'and', 'no', 'need', 'to', 'queue']","['easy', 'to', 'book', 'and', 'no', 'need', 'to', 'queue']",1
"Mengecewakan karna saya ingin mengganti nomor telepon yang baru tidak bisa ,Hp syaa seblmnya hilang dan kalau mau login harus pake kode otp terima kasih atas pelayananya saya kemungkinan tidak akan menggunakan aplikasi ini lagi saya berterima kasih banyak Merugikan Saldo saya.","['mengecewakan', 'karna', 'saya', 'ingin', 'mengganti', 'nomor', 'telepon', 'yang', 'baru', 'tidak', 'bisa', 'hp', 'syaa', 'seblmnya', 'hilang', 'dan', 'kalau', 'mau', 'login', 'harus', 'pake', 'kode', 'otp', 'terima', 'kasih', 'atas', 'pelayananya', 'saya', 'kemungkinan', 'tidak', 'akan', 'menggunakan', 'aplikasi', 'ini', 'lagi', 'saya', 'berterima', 'kasih', 'banyak', 'merugikan', 'saldo', 'saya']","['kecewa', 'karna', 'ganti', 'nomor', 'telepon', 'hp', 'syaa', 'seblmnya', 'hilang', 'login', 'pake', 'kode', 'otp', 'terima', 'kasih', 'pelayananya', 'aplikasi', 'terima', 'kasih', 'rugi', 'saldo']",0
good job,"['good', 'job']","['good', 'job']",1
very good,"['very', 'good']","['very', 'good']",1
"HATI HATI APLIKASI BLOON INI GA BISA REFUND.SAYA SALAH MASUKIN ANGKA DARI 100RB KE 1 JUTA,SAYA MINTA SOLUSI JAWABANNYA GA BISA DI REFUND!! KEBAYANG MAU ISI 1 JUTA MALAH JADI 10JUTA MAMAM TUH 10 JUTA BUAT NONTON GA USAH SOK BIKIN APLIKASI KALO GA BISA MELINDUNGI KEAMANAN KONSUMEN . SEKALI LAGI PIKIR2 DEH PAKE APLIKASI INI. CS NYA JUGA JAWABAN TEMPLATE !! SAYA MINTA SOLUSI 2X24 JAM GA USAH JAWAB PAKE TEMPLATE!!","['hati', 'hati', 'aplikasi', 'bloon', 'ini', 'ga', 'bisa', 'refund.saya', 'salah', 'masukin', 'angka', 'dari', '100rb', 'ke', '1', 'juta', 'saya', 'minta', 'solusi', 'jawabannya', 'ga', 'bisa', 'di', 'refund', 'kebayang', 'mau', 'isi', '1', 'juta', 'malah', 'jadi', '10juta', 'mamam', 'tuh', '10', 'juta', 'buat', 'nonton', 'ga', 'usah', 'sok', 'bikin', 'aplikasi', 'kalo', 'ga', 'bisa', 'melindungi', 'keamanan', 'konsumen', 'sekali', 'lagi', 'pikir2', 'deh', 'pake', 'aplikasi', 'ini', 'cs', 'nya', 'juga', 'jawaban', 'template', 'saya', 'minta', 'solusi', '2x24', 'jam', 'ga', 'usah', 'jawab', 'pake', 'template']","['hati', 'hati', 'aplikasi', 'bloon', 'ga', 'refund saya', 'salah', 'masukin', 'angka', '100rb', '1', 'juta', 'solusi', 'jawab', 'ga', 'refund', 'bayang', 'isi', '1', 'juta', '10juta', 'mamam', 'tuh', '10', 'juta', 'nonton', 'ga', 'sok', 'bikin', 'aplikasi', 'kalo', 'ga', 'lindung', 'aman', 'konsumen', 'pikir2', 'deh', 'pake', 'aplikasi', 'cs', 'template', 'solusi', '2x24', 'jam', 'ga', 'pake', 'template']",0
Hari gini masih ada adm fee..? Aneh ???,"['hari', 'gini', 'masih', 'ada', 'adm', 'fee', 'aneh']","['gin', 'adm', 'fee', 'aneh']",1
Gampang nyari tiket bioskop,"['gampang', 'nyari', 'tiket', 'bioskop']","['gampang', 'nyari', 'tiket', 'bioskop']",1
Manyap,['manyap'],['manyap'],1
Mo nanya.. Sisa saldonya bisa di-withdraw gak ya?,"['mo', 'nanya', 'sisa', 'saldonya', 'bisa', 'di-withdraw', 'gak', 'ya']","['mo', 'nanya', 'sisa', 'saldo', 'di-withdraw', 'gak']",1
hiya hiyaa,"['hiya', 'hiyaa']","['hiya', 'hiyaa']",1
Menubrusolesna tolong di masukin dunk,"['menubrusolesna', 'tolong', 'di', 'masukin', 'dunk']","['menubrusolesna', 'tolong', 'masukin', 'dunk']",1
Sip,['sip'],['sip'],1
Aplikasi kacau...biaya admin mulu yg ada di otaknya....,"['aplikasi', 'kacau', 'biaya', 'admin', 'mulu', 'yg', 'ada', 'di', 'otaknya']","['aplikasi', 'kacau', 'biaya', 'admin', 'mulu', 'yg', 'otak']",0
Good app. Very usefull,"['good', 'app', 'very', 'usefull']","['good', 'app', 'very', 'usefull']",1
yah bagus aja,"['yah', 'bagus', 'aja']","['yah', 'bagus', 'aja']",1
Well done and keep up the great work :),"['well', 'done', 'and', 'keep', 'up', 'the', 'great', 'work']","['well', 'done', 'and', 'keep', 'up', 'the', 'great', 'work']",1
This apps is very helpfull for me to book ticket for movie,"['this', 'apps', 'is', 'very', 'helpfull', 'for', 'me', 'to', 'book', 'ticket', 'for', 'movie']","['this', 'apps', 'is', 'very', 'helpfull', 'for', 'me', 'to', 'book', 'ticket', 'for', 'movie']",1
okay,['okay'],['okay'],1
good 👍👍👍👍👍,['good'],['good'],1
Can't use,"['ca', ""n't"", 'use']","['ca', 'n t', 'use']",0
Good app,"['good', 'app']","['good', 'app']",1
